iter	RMSE
0	640.0247183
1	583.7305685
2	532.7965474
3	486.5096746
4	444.4806685
5	406.6090641
6	372.8125227
7	342.4307642
8	314.3201449
9	288.7176368
10	265.6723758
11	245.0029171
12	225.9952165
13	208.8859291
14	193.8567175
15	180.0480787
16	167.8973299
17	156.8376193
18	147.0475724
19	138.2510622
20	130.6020819
21	123.7141089
22	117.8159911
23	112.3655067
24	107.7018392
25	103.5712794
26	100.1328054
27	96.94606618
28	94.03368339
29	91.56969332
30	89.4985833
31	87.67788394
32	86.15612501
33	84.87179763
34	83.65489452
35	82.55177435
36	81.65143392
37	80.80492767
38	80.03793773
39	79.37377505
40	78.81497517
41	78.32005875
42	77.84538663
43	77.4795583
44	77.11995587
45	76.69133104
46	76.38453276
47	76.08863114
48	75.86020476
49	75.66663863
50	75.49495695
51	75.33497207
52	75.1692553
53	75.00012366
54	74.75248629
55	74.62251851
56	74.51210605
57	74.37837072
58	74.26087367
59	74.02661204
60	73.95046854
61	73.85211113
62	73.78280885
63	73.63178351
64	73.47480565
65	73.39212039
66	73.30357489
67	73.1541064
68	73.08048422
69	73.01250792
70	72.94896542
71	72.86133176
72	72.72762875
73	72.65715937
74	72.55001101
75	72.45789524
76	72.40001027
77	72.33169702
78	72.2490655
79	72.17286863
80	72.08400286
81	72.00287256
82	71.94179288
83	71.8678892
84	71.80756305
85	71.75289081
86	71.69397003
87	71.63664495
88	71.57358577
89	71.51847304
90	71.46968078
91	71.41256389
92	71.36161298
93	71.3035273
94	71.24863376
95	71.1929096
96	71.14371378
97	71.09158069
98	71.0567047
99	71.02540544
100	70.97309876
101	70.93492194
102	70.89319205
103	70.85345659
104	70.80310205
105	70.75714178
106	70.70199311
107	70.65492633
108	70.60793345
109	70.57334988
110	70.5287575
111	70.49369666
112	70.44759583
113	70.40973731
114	70.38156233
115	70.35071038
116	70.30566599
117	70.2622064
118	70.21701344
119	70.17209447
120	70.13535755
121	70.08882081
122	70.05101821
123	70.01046732
124	69.9781389
125	69.95565243
126	69.91530795
127	69.88284986
128	69.8416083
129	69.81052755
130	69.77496735
131	69.73812871
132	69.70057249
133	69.65560551
134	69.62308819
135	69.58851774
136	69.55267889
137	69.51624213
138	69.4944804
139	69.45814628
140	69.43010287
141	69.40090587
142	69.37763683
143	69.35793946
144	69.32421601
145	69.29277709
146	69.26340867
147	69.23324613
148	69.20495684
149	69.17819804
150	69.14987801
151	69.117722
152	69.09043713
153	69.05996357
154	69.04213564
155	69.01419687
156	68.97880737
157	68.95057343
158	68.92136269
159	68.89092643
160	68.86593458
161	68.83558837
162	68.80638518
163	68.77927349
164	68.75296411
165	68.72888377
166	68.69757592
167	68.66977087
168	68.64157292
169	68.61544001
170	68.59211252
171	68.56966166
172	68.54427974
173	68.52435071
174	68.50083494
175	68.47634208
176	68.45070773
177	68.43142505
178	68.40406624
179	68.37822413
180	68.3479625
181	68.32533005
182	68.29461256
183	68.27103414
184	68.24733672
185	68.22441676
186	68.20209794
187	68.1806603
188	68.16001898
189	68.13538019
190	68.11443116
191	68.09376548
192	68.07137323
193	68.04289279
194	68.0227628
195	68.00379437
196	67.97215001
197	67.94957588
198	67.91768186
199	67.89817527
200	67.87912361
201	67.86055428
202	67.84128256
203	67.81828665
204	67.80075366
205	67.7826931
206	67.76562305
207	67.74962756
208	67.7317624
209	67.71165884
210	67.69043164
211	67.66771819
212	67.64147358
213	67.62006813
214	67.60339818
215	67.58708316
216	67.56733207
217	67.54887331
218	67.53220139
219	67.51651334
220	67.50117848
221	67.48242906
222	67.45572965
223	67.43772493
224	67.42141089
225	67.40659657
226	67.38388176
227	67.37083601
228	67.35636901
229	67.34136293
230	67.31302294
231	67.28024008
232	67.26554334
233	67.23445221
234	67.21856193
235	67.20397592
236	67.19188688
237	67.17746414
238	67.1549166
239	67.12603382
240	67.10198249
241	67.08282501
242	67.06217107
243	67.04543695
244	67.03406466
245	67.01193068
246	66.99805054
247	66.98778218
248	66.96816049
249	66.95289066
250	66.93222928
251	66.90953416
252	66.89399046
253	66.88127806
254	66.86740884
255	66.85564462
256	66.843273
257	66.82695803
258	66.81710567
259	66.80398217
260	66.78821116
261	66.76054207
262	66.75175849
263	66.73796798
264	66.71821812
265	66.69552055
266	66.67793222
267	66.65860455
268	66.64711214
269	66.63349282
270	66.61156654
271	66.60222785
272	66.58750713
273	66.57321372
274	66.55494562
275	66.53577672
276	66.52309448
277	66.51090295
278	66.50034318
279	66.49150088
280	66.4723168
281	66.45678433
282	66.43300305
283	66.41113953
284	66.39399058
285	66.38260198
286	66.36983395
287	66.35873169
288	66.34480341
289	66.33576792
290	66.32825929
291	66.30660708
292	66.29405874
293	66.28141531
294	66.27159367
295	66.26254917
296	66.24688597
297	66.22744067
298	66.2160379
299	66.20288164
300	66.18756317
301	66.17670858
302	66.15834652
303	66.14740226
304	66.13380718
305	66.12385316
306	66.10219902
307	66.0873336
308	66.07924838
309	66.06618521
310	66.0504813
311	66.03067189
312	66.01576641
313	66.00580952
314	65.98828348
315	65.97041215
316	65.95080306
317	65.930844
318	65.92335148
319	65.91411547
320	65.90039466
321	65.89051819
322	65.88323112
323	65.8645099
324	65.8575604
325	65.84680384
326	65.83565015
327	65.82237887
328	65.81342327
329	65.7997096
330	65.78968419
331	65.77585218
332	65.75478236
333	65.7418849
334	65.73238275
335	65.71770709
336	65.7081841
337	65.7014062
338	65.68863598
339	65.67307474
340	65.6590194
341	65.65203713
342	65.64282682
343	65.62992588
344	65.61435102
345	65.60290775
346	65.5912265
347	65.57757769
348	65.57083446
349	65.56148945
350	65.54977964
351	65.53638263
352	65.517948
353	65.50710479
354	65.49391843
355	65.48073792
356	65.46965552
357	65.46168398
358	65.45360323
359	65.43965198
360	65.42385315
361	65.41641983
362	65.40600768
363	65.39977581
364	65.39190325
365	65.38561142
366	65.37939375
367	65.36920981
368	65.36023512
369	65.34428501
370	65.33330306
371	65.32289207
372	65.3105562
373	65.30082793
374	65.28870119
375	65.28065058
376	65.27209401
377	65.26149006
378	65.25000045
379	65.23940233
380	65.2254201
381	65.21547353
382	65.19937353
383	65.19035786
384	65.1771329
385	65.17066615
386	65.15674705
387	65.14870781
388	65.13467559
389	65.11992193
390	65.10522357
391	65.09129891
392	65.08434877
393	65.07353536
394	65.06232533
395	65.04935258
396	65.04180561
397	65.02475714
398	65.01042939
399	65.00521082
400	64.99581366
401	64.98549785
402	64.97787122
403	64.96453871
404	64.95747353
405	64.94550909
406	64.9404431
407	64.93234682
408	64.91845344
409	64.91123808
410	64.90508169
411	64.89671274
412	64.89182021
413	64.87938137
414	64.86951386
415	64.85949108
416	64.85159166
417	64.83932224
418	64.8309626
419	64.82338569
420	64.81241089
421	64.80018799
422	64.78486359
423	64.77907123
424	64.76462617
425	64.75543696
426	64.74960857
427	64.74250524
428	64.73637049
429	64.72581184
430	64.71947829
431	64.70643604
432	64.69791675
433	64.68898032
434	64.67515808
435	64.66777891
436	64.66196935
437	64.64766342
438	64.64415156
439	64.62962554
440	64.62230947
441	64.61277338
442	64.60303491
443	64.59478989
444	64.58658032
445	64.57643314
446	64.56290665
447	64.55871865
448	64.54648343
449	64.5396529
450	64.52835489
451	64.51789502
452	64.50433379
453	64.49284591
454	64.48045156
455	64.47325687
456	64.4637585
457	64.45125912
458	64.44125013
459	64.43337709
460	64.428804
461	64.41925139
462	64.41123132
463	64.40772343
464	64.40203247
465	64.39647866
466	64.38713715
467	64.37780461
468	64.37109071
469	64.36507413
470	64.35584366
471	64.34936811
472	64.3426393
473	64.33308895
474	64.32036968
475	64.31589753
476	64.30829682
477	64.30077534
478	64.28896891
479	64.28231795
480	64.27509477
481	64.26703539
482	64.25688361
483	64.24871835
484	64.23905787
485	64.23148898
486	64.21988006
487	64.21185177
488	64.20127936
489	64.19342703
490	64.18321696
491	64.17360464
492	64.16616327
493	64.16038411
494	64.1512701
495	64.13913404
496	64.1292262
497	64.11806034
498	64.11405921
499	64.10610053
500	64.09800815
501	64.09071238
502	64.08218203
503	64.07497462
504	64.06535006
505	64.05406806
506	64.04878636
507	64.04184565
508	64.03326607
509	64.02773418
510	64.01624326
511	64.00519441
512	63.99913075
513	63.9889951
514	63.98018372
515	63.97255062
516	63.96902293
517	63.96000086
518	63.95333319
519	63.94605771
520	63.93655765
521	63.93083286
522	63.92418098
523	63.9182996
524	63.90486262
525	63.89502202
526	63.88883951
527	63.87709105
528	63.8726393
529	63.86627546
530	63.85734576
531	63.84850955
532	63.84240283
533	63.83429614
534	63.82962042
535	63.82589227
536	63.81879119
537	63.81117442
538	63.80443451
539	63.79646436
540	63.79093864
541	63.78243146
542	63.77565439
543	63.77047444
544	63.76336081
545	63.75765058
546	63.74855174
547	63.74277865
548	63.7355039
549	63.72874741
550	63.7198505
551	63.71251991
552	63.70573222
553	63.69896488
554	63.69099674
555	63.68509355
556	63.6800665
557	63.67546636
558	63.67205617
559	63.6593653
560	63.65469105
561	63.64569088
562	63.63837308
563	63.63074429
564	63.62534971
565	63.61644376
566	63.60529731
567	63.59776995
568	63.58696705
569	63.58191232
570	63.57243929
571	63.5676432
572	63.56110721
573	63.55222289
574	63.54727361
575	63.53817306
576	63.53045841
577	63.52292257
578	63.51740756
579	63.50927087
580	63.49951947
581	63.4944357
582	63.48656148
583	63.48005524
584	63.47032081
585	63.4637091
586	63.45954726
587	63.45081959
588	63.44824949
589	63.43790015
590	63.42720229
591	63.4204388
592	63.4132712
593	63.40753653
594	63.40269841
595	63.39797344
596	63.38989801
597	63.3844602
598	63.37799547
599	63.37171415
600	63.36584087
601	63.36108969
602	63.35222574
603	63.34130052
604	63.33493861
605	63.32934287
606	63.32057444
607	63.31237796
608	63.30642078
609	63.29785619
610	63.29112905
611	63.2810905
612	63.27159945
613	63.26263667
614	63.25754748
615	63.25322279
616	63.24792493
617	63.23745446
618	63.23118765
619	63.2242402
620	63.21356238
621	63.2091865
622	63.20297679
623	63.19884797
624	63.19143471
625	63.17903041
626	63.17119174
627	63.16308091
628	63.15649048
629	63.15248457
630	63.14720328
631	63.13839758
632	63.13247788
633	63.12584821
634	63.11831652
635	63.10922167
636	63.10522861
637	63.10112061
638	63.09509406
639	63.08907054
640	63.08391902
641	63.07841833
642	63.07190831
643	63.06229168
644	63.0564753
645	63.04962934
646	63.04339421
647	63.03745412
648	63.02926467
649	63.01903158
650	63.01341188
651	63.00496922
652	62.99814687
653	62.99384485
654	62.98611206
655	62.98227022
656	62.9745558
657	62.965268
658	62.9564476
659	62.95182825
660	62.94484252
661	62.93552607
662	62.9295962
663	62.92507346
664	62.91799963
665	62.91336837
666	62.90668154
667	62.90223234
668	62.8963734
669	62.89087767
670	62.88198351
671	62.87584298
672	62.87083362
673	62.85987432
674	62.85329217
675	62.84933612
676	62.8420307
677	62.83674813
678	62.83146787
679	62.82643788
680	62.81951933
681	62.81415798
682	62.80948685
683	62.80403027
684	62.80019527
685	62.79205836
686	62.78490408
687	62.77835737
688	62.77241266
689	62.76945051
690	62.76289246
691	62.75795668
692	62.75157627
693	62.74379725
694	62.7400122
695	62.73367979
696	62.72896583
697	62.71867988
698	62.71343826
699	62.70687234
700	62.70155966
701	62.69807373
702	62.69390858
703	62.6882268
704	62.68426319
705	62.6792256
706	62.67341404
707	62.66478524
708	62.66053731
709	62.65154947
710	62.64356642
711	62.63964501
712	62.63336816
713	62.62866168
714	62.62505328
715	62.61809881
716	62.61316319
717	62.60565866
718	62.59636592
719	62.5922833
720	62.58386578
721	62.57478731
722	62.57102838
723	62.56553615
724	62.56266356
725	62.55910254
726	62.55293164
727	62.54789987
728	62.54305558
729	62.53791454
730	62.53062236
731	62.5256
732	62.52047191
733	62.51399191
734	62.50666559
735	62.50132315
736	62.49451912
737	62.48529514
738	62.47782207
739	62.46912344
740	62.46092748
741	62.45662967
742	62.45200196
743	62.44773316
744	62.44263223
745	62.43510948
746	62.43144715
747	62.4249447
748	62.41775797
749	62.40934601
750	62.40258197
751	62.39873632
752	62.39108786
753	62.38472108
754	62.37977842
755	62.37417339
756	62.37044455
757	62.36635988
758	62.3597314
759	62.35663234
760	62.34998166
761	62.34393516
762	62.33810899
763	62.33197539
