iter	Passed	Remaining
0	16	16671
1	31	15759
2	45	15121
3	60	15045
4	74	14893
5	89	14766
6	103	14729
7	120	14967
8	138	15206
9	152	15124
10	167	15046
11	182	15030
12	197	14987
13	212	14938
14	227	14917
15	241	14882
16	256	14832
17	271	14788
18	286	14782
19	301	14782
20	317	14782
21	332	14763
22	348	14799
23	364	14814
24	379	14818
25	396	14842
26	411	14834
27	426	14818
28	442	14824
29	458	14819
30	474	14831
31	489	14813
32	505	14812
33	520	14787
34	536	14778
35	551	14767
36	566	14743
37	580	14704
38	595	14673
39	610	14659
40	625	14628
41	640	14609
42	655	14596
43	670	14574
44	687	14585
45	702	14571
46	717	14548
47	731	14516
48	747	14513
49	763	14497
50	778	14485
51	792	14451
52	807	14432
53	822	14402
54	837	14391
55	853	14394
56	869	14392
57	884	14369
58	898	14331
59	913	14314
60	928	14289
61	942	14251
62	957	14236
63	971	14208
64	986	14185
65	1002	14182
66	1017	14169
67	1032	14153
68	1048	14144
69	1065	14156
70	1083	14183
71	1100	14183
72	1118	14201
73	1135	14214
74	1151	14205
75	1168	14201
76	1183	14180
77	1197	14157
78	1212	14130
79	1227	14120
80	1242	14101
81	1258	14085
82	1274	14078
83	1290	14076
84	1305	14057
85	1321	14043
86	1335	14019
87	1351	14005
88	1365	13976
89	1380	13956
90	1395	13941
91	1411	13927
92	1425	13901
93	1440	13881
94	1456	13872
95	1472	13864
96	1487	13847
97	1501	13819
98	1518	13817
99	1535	13815
100	1552	13815
101	1568	13806
102	1585	13803
103	1602	13802
104	1616	13777
105	1633	13773
106	1648	13761
107	1664	13748
108	1679	13730
109	1693	13705
110	1709	13687
111	1724	13669
112	1739	13651
113	1753	13628
114	1768	13608
115	1783	13588
116	1797	13569
117	1813	13554
118	1828	13533
119	1844	13522
120	1861	13525
121	1877	13513
122	1892	13495
123	1908	13479
124	1922	13457
125	1937	13439
126	1953	13425
127	1968	13409
128	1985	13405
129	2000	13387
130	2016	13375
131	2031	13355
132	2047	13345
133	2061	13322
134	2075	13299
135	2090	13283
136	2104	13259
137	2120	13248
138	2136	13234
139	2151	13218
140	2166	13197
141	2181	13178
142	2195	13155
143	2210	13142
144	2227	13132
145	2243	13123
146	2259	13109
147	2276	13103
148	2291	13084
149	2306	13068
150	2320	13049
151	2336	13034
152	2352	13022
153	2368	13009
154	2385	13004
155	2400	12986
156	2416	12973
157	2431	12958
158	2448	12949
159	2462	12926
160	2477	12910
161	2495	12906
162	2510	12893
163	2527	12882
164	2544	12875
165	2559	12861
166	2575	12846
167	2590	12828
168	2605	12810
169	2619	12791
170	2634	12773
171	2651	12763
172	2669	12761
173	2685	12746
174	2701	12737
175	2717	12725
176	2733	12710
177	2748	12693
178	2764	12679
179	2791	12716
180	2814	12734
181	2837	12754
182	2855	12749
183	2873	12743
184	2893	12748
185	2912	12743
186	2929	12738
187	2948	12736
188	2965	12725
189	2981	12712
190	2998	12699
191	3014	12687
192	3032	12679
193	3050	12673
194	3068	12665
195	3086	12661
196	3104	12652
197	3120	12638
198	3136	12626
199	3156	12626
200	3174	12620
201	3192	12610
202	3211	12607
203	3228	12596
204	3244	12580
205	3263	12577
206	3280	12568
207	3301	12570
208	3319	12562
209	3339	12562
210	3363	12576
211	3381	12568
212	3400	12564
213	3418	12554
214	3433	12537
215	3451	12526
216	3467	12511
217	3485	12503
218	3501	12487
219	3520	12480
220	3539	12476
221	3556	12463
222	3572	12448
223	3589	12434
224	3606	12422
225	3623	12409
226	3639	12394
227	3657	12383
228	3676	12378
229	3692	12361
230	3708	12345
231	3726	12334
232	3745	12329
233	3764	12324
234	3784	12318
235	3800	12304
236	3823	12310
237	3842	12303
